ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
3.6,6,12,282
3.6,6,16.8,279
3.6,6,10.3,242
5.7,8,13.1,307
6.4,8,13.9,326
5.7,8,12.3,289
6.4,8,12.9,302
6.4,8,13.9,326
6.4,8,12.9,302
6.2,8,14.5,339
6.2,8,15.1,353
3.6,6,11.5,271
3.6,6,10.3,240
3.6,6,11.5,271
3.6,6,15.9,264
3.6,6,10.3,240
3.6,6,13.9,229
5.7,8,12.9,302
5.7,8,12.3,289
6.4,8,12.9,302
3.6,6,10.9,257
3.6,6,10.9,257
3.6,6,14.8,243
5.7,8,13.4,313
6.4,8,12.9,302
6.2,8,14.5,339
2,4,8.1,189
2.4,4,8.6,202
2.4,4,8.8,205
2,4,8.6,201
2,4,11.5,187
2.4,4,9.2,215
2.4,4,8.8,207
1.4,4,7.3,171
1.4,4,7.3,171
3.6,6,11.3,265
5.7,8,14,329
3.6,6,11.8,276
3.6,6,16.4,269
2.4,4,11.1,260
3.6,6,12.1,283
3.6,6,16.2,270
3.6,6,12.4,292
8.4,10,15.6,364
1.4,4,7.9,183
1.4,4,7.2,168
1.4,4,7.9,183
1.4,4,6.8,160
1.4,4,8.6,200
1.4,4,7.8,183
1.4,4,8.6,200
1.4,4,7.8,183
1.4,4,8.6,200
1.4,4,7.8,183
1.4,4,9.4,218
1.4,4,8.7,203
1.4,4,8.3,194
1.4,4,8.3,194
2.4,4,9.3,217
2.4,4,9.6,224
2,4,6,140
2,4,9.8,231
2,4,9.8,228
3.5,6,11.4,268
2,4,10.3,240
2.7,6,11.9,278
3.5,6,11.8,278
1.6,4,8.9,208
2,4,9.6,224
2.5,4,9.4,220
1.6,4,9.4,220
2,4,10,236
3.5,6,14.3,334
3.5,6,14.4,338
2.3,4,10.8,253
3.5,6,12,280
3.5,6,16.1,264
2.3,4,11.3,265
3.5,6,13,305
3.5,6,12.6,295
3.5,6,17.2,282
2.7,6,10.9,256
3.5,6,11.9,278
2.7,6,11.2,263
3.5,6,12.9,303
3.5,6,11.6,272
3.5,6,15.7,261
5,8,13.2,309
5,8,17.8,292
5,8,14.5,341
5,8,17.8,293
2.7,6,11.7,275
3.5,6,12.9,303
2.7,6,12.3,288
3.5,6,13.8,324
3.5,6,12.5,292
3.5,6,16.9,278
5,8,13.8,324
5,8,18.7,306
5,8,14.8,347
5,8,18.8,310
1.6,4,7.6,180
1.6,4,7.6,179
1,3,6.6,153
1.6,4,8.1,191
3.5,6,12.7,298
3.5,6,12.9,303
3.5,6,13.7,322
1,3,7.3,171
1,3,6.8,160
2,4,7.6,178
2,4,10.3,170
2,4,7.8,183
2,4,10.5,175
2,4,8,188
2,4,10.8,179
2.3,4,10.9,255
2,4,9.2,217
1.5,4,8.4,197
1.5,4,8,188
2,4,8.9,210
2.5,4,8.9,209
2,4,9.3,220
2,4,5.5,130
2.3,4,9.4,219
2.3,4,9.2,217
3.7,6,10.7,253
3.7,6,11.2,264
5,8,12.4,292
5,8,12.7,298
2.3,4,10,234
5,8,13,304
5.2,8,14.2,334
3.5,6,14.6,342
3.7,6,15.2,356
3.7,6,21,345
2,4,10.1,237
3.5,6,11.1,260
3.5,6,14.9,248
3.5,6,12.5,293
3.5,6,12.4,291
3.5,6,16.3,271
1.6,4,9.5,223
2.5,4,10.4,243
2.5,4,10.4,243
2.5,4,14.2,233
2.5,4,10.7,252
2.5,4,10.7,252
2.5,4,14.6,240
2.5,4,10.7,252
2.5,4,10.7,252
2.5,4,14.6,240
3.6,6,13.4,315
3.6,6,13.7,323
2.5,4,10.5,247
2.5,4,10.8,253
2.8,4,9.4,252
3.6,6,11.3,265
2.5,4,11.3,265
2.8,4,10.3,277
3.6,6,11.9,279
6,8,18.8,441
6,8,19.8,465
5.3,8,12.7,298
6.2,8,14,327
4.3,6,11.9,280
4.3,6,17.1,284
5.3,8,12.7,298
5.3,8,17.2,286
5.3,8,13.1,307
6.2,8,14.2,332
4.3,6,12.6,296
4.3,6,18.1,301
5.3,8,13.1,306
5.3,8,17.8,295
5.3,8,13,304
2.4,4,9.1,214
3.6,6,12.1,285
2.4,4,9.1,214
2.4,4,13.4,221
2.4,4,10,235
3.6,6,12.8,300
5.3,8,13,304
5.3,8,13,304
5.3,8,17.6,288
5.3,8,13.2,310
6.2,8,13.8,323
5.3,8,13.2,310
5.3,8,18,300
5.3,8,13,304
5.3,8,13,304
5.3,8,17.6,288
5.3,8,13.3,312
6.2,8,14.3,334
5.3,8,13.3,312
5.3,8,19.1,317
2.4,4,8.9,207
3.5,6,9.5,223
3.5,6,10.9,253
2.4,4,7.6,177
3.5,6,9.4,219
2.4,4,8,187
1.5,4,6.7,155
2,4,6.9,162
2,4,7.7,179
1.5,4,6.7,157
2,4,6.9,162
2,4,7.5,176
2.4,4,7.9,186
2.4,4,8.6,202
1.5,4,6.8,157
1.5,4,7.3,169
1.5,4,6.4,150
1.5,4,6.8,158
1.5,4,7.3,171
1.8,4,7.6,177
1.8,4,7.6,177
1.8,4,8.3,193
1.8,4,8.1,190
1.8,4,8.1,190
3.5,6,10.6,250
3.5,6,10.8,253
3.5,6,11.3,265
3.5,6,11,257
1.6,4,7.7,179
1.6,4,7.6,176
1.8,4,7.5,176
1.8,4,7.7,180
2,4,8.3,194
2,4,8.5,198
2,4,8.6,203
2,4,8.6,202
5,8,13.3,312
3.8,6,12.1,285
5,8,14.2,332
3.8,6,12.2,284
3.8,6,12.1,283
3.3,6,11.3,265
3.3,6,11.5,269
2.4,4,10.3,239
2,4,11.5,266
2.4,4,11.1,257
3.3,6,12.5,295
2,4,9.1,214
2.4,4,8.1,191
2.4,4,8.6,204
2,4,5.6,133
2,4,5.8,136
2,4,9,211
1.6,4,9.2,219
2,4,10.1,240
1.6,4,7.5,177
1.6,4,7.8,186
1.6,4,8.1,191
1.6,4,8.3,197
2,4,9.1,214
3,6,10.3,242
2,4,9.6,226
3,6,10.6,249
3,6,11.1,262
3,6,10.5,247
3,6,10.8,256
3.5,6,7.7,181
3.5,6,8.2,193
3.7,6,11.6,274
5.6,8,12.8,300
3.5,6,7.5,177
3.7,6,11.9,279
3.5,6,10.3,242
3.5,6,10.7,252
2.5,4,8.7,204
3.7,6,12.8,301
5.6,8,15.1,354
3,6,10.5,246
3,6,12.6,296
3,6,10.5,246
3,6,12.6,296
5,8,12.8,302
5,8,13.3,311
5,8,13.3,311
3,6,10.8,254
3,6,12.9,302
3,6,11.3,264
3,6,10.8,254
3,6,12.9,302
3,6,11.3,264
3,6,10.3,241
3,6,11.7,275
3,6,11.9,279
5,8,13.3,313
5,8,13.3,313
2.4,4,9.5,223
2.4,4,9.5,223
2.4,4,12.9,213
3.2,6,9.9,233
2.4,4,10,233
2.4,4,10,233
2.4,4,13.7,226
3.2,6,10.2,240
2.4,4,10.1,238
3.2,6,10.9,256
2.4,4,10.9,255
3.2,6,10.8,253
2,4,10,234
2,4,9.2,214
2.4,4,10,235
2.4,4,9.3,218
2.4,4,10.5,248
2.4,4,9.7,228
2.4,4,11.1,259
3.6,6,11.3,265
5.7,8,14,329
3,6,9.9,267
6.4,8,15.8,370
2,4,10,234
2,4,9.2,214
2.4,4,10,235
2.4,4,9.3,218
2.4,4,10.5,248
2.4,4,9.7,228
2.4,4,11.1,259
1.4,4,8.8,207
2.4,4,9.4,220
2.4,4,12.2,201
1.4,4,8.8,203
2.4,4,9.8,229
3.6,6,12.8,299
3.6,6,12.8,299
3.6,6,13.4,314
3.6,6,13.4,312
3.3,6,10.7,251
1.8,4,7.6,179
1.8,4,7.9,186
2,4,8.3,196
2,4,8.5,198
1.6,4,9.7,228
1.6,4,9.8,227
2,4,8.5,199
2,4,8.4,197
1.6,4,9.4,218
1.6,4,9.6,222
2,4,8.6,200
2,4,8.8,206
3.8,6,11.8,278
5,8,13.4,318
1.6,4,7.4,175
2,4,9.3,222
2.4,4,8.1,193
2.4,4,6.3,147
2.4,4,6.4,150
1.6,4,7.7,178
1.6,4,7.7,179
1.6,4,7.6,175
2,4,9,214
2,4,9.3,220
3.3,6,11.6,275
3.3,6,11.4,269
3.3,6,12.5,296
2,4,10.3,245
2.4,4,9.8,233
2,4,10.9,259
2.4,4,10.4,245
3.3,6,11.6,275
1.6,4,8.9,206
1.6,4,9,208
2,4,8.8,208
2,4,8.8,208
2.4,4,10,231
2.4,4,11.3,261
2,4,11.3,261
2.4,4,10.8,251
6.5,12,17.9,420
6.5,12,19.3,452
5.2,10,14.2,331
5.2,10,14.6,340
2,4,10.6,248
3,6,14.3,336
3,6,12.4,291
3,6,9.4,254
5,8,15.1,356
5,8,15.1,356
3,6,12.4,291
3,6,9.4,254
5,8,14.7,344
2,4,9.7,229
1.8,4,5.7,132
2.5,4,5.9,139
3.5,6,9.7,225
2,4,9,212
2,4,9.7,227
3.5,6,10.2,237
3.5,6,10.9,254
3.5,6,10.7,251
3.5,6,7.6,177
5,8,12.5,293
4.6,8,13.9,322
2,4,9,212
3.5,6,11.1,258
3.5,6,10.6,246
3.5,6,11.1,258
4.6,8,12.3,286
4.6,8,12.9,303
4.6,8,12.9,303
5,8,11.5,268
5.7,8,15.9,371
2,4,9.6,225
2,4,9.9,231
2.5,4,7.4,172
2,4,9,214
3.5,6,11.1,258
3.5,6,10.6,246
3.5,6,11.1,258
5,8,12.6,289
3.5,6,10.7,251
3.5,6,8,186
2,4,10.9,256
2.3,4,11.1,261
3.5,6,12.5,293
3.7,6,12.2,287
3.5,6,13.7,322
2,4,11.4,268
3.7,6,12.7,298
2.7,6,12.1,283
3.7,6,12.5,293
2,4,8.9,210
3.7,6,10.9,257
2,4,9.3,220
3.7,6,11.9,279
2,4,5.8,136
3.5,6,14.3,334
3.5,6,14.4,339
3,6,12.2,286
3,6,12.5,293
3,6,12.6,295
4.7,8,15.1,357
4.7,8,15.2,360
3.8,8,14,322
3,6,12.9,300
3,6,12.9,302
2,4,7.6,179
2,4,8.1,189
2,4,8.2,192
2.5,4,8.1,190
2,4,8,188
2,4,8.5,199
2.5,4,9,210
2,4,6.9,162
2,4,7,165
2.5,4,7.4,173
2.5,4,7.2,169
2.5,4,8,189
2,4,7,165
2,4,7.1,167
2.5,4,7.7,182
2.5,4,7.2,170
2.5,4,8.1,190
2.5,4,9.7,226
2.5,4,9.8,229
2.5,4,7.6,178
2.5,4,7.3,171
2.5,4,8.1,188
2,4,7.8,183
2,4,7.8,183
4,8,11.7,268
4,8,11.7,268
2,4,9.1,214
5.5,8,13.1,308
5.5,8,13.3,310
5.5,8,13.3,310
5.5,8,18.5,417
6,12,21.4,476
5.5,8,16.3,369
2,4,9.3,216
5.5,8,15.6,366
5.5,8,15.2,363
4,8,12.8,303
5.5,8,13.2,313
5.5,8,13,313
6,12,15.5,361
6,12,15,355
5.5,8,12.4,298
6,12,14.2,335
5.5,8,10.6,252
2,4,8,188
2,4,8.9,206
2,4,9,212
3,6,10.4,231
2,4,8.1,188
2,4,8.6,198
2,4,11.6,198
3,6,10.7,252
4.7,8,11.7,277
2.1,4,7.4,200
3.5,6,10.2,240
3,6,10.4,244
3,6,10.2,239
3,6,10.8,253
3,6,10,233
4.7,8,11.4,270
4.7,8,11.7,275
4.7,8,11.4,268
5.5,8,17.9,401
3,6,12,322
3,6,14,298
4.7,8,15.5,365
2,4,8.7,203
3,6,9.2,246
3,6,9.4,253
3,6,12,282
3,6,12,281
4.7,8,14.2,335
6,12,15.3,359
2,4,10.2,233
2,4,10.9,248
3,6,10.8,253
4.7,8,12.2,294
4.7,8,12.5,287
4.7,8,12.3,289
6,12,14.5,340
4.7,8,12.3,289
2,4,8.5,199
3.5,6,9.8,229
1.5,3,7.7,181
1.5,3,7.3,172
1.5,3,7.7,181
1.5,3,7.2,170
1.5,3,8.3,195
1.5,3,8.2,194
1.5,3,7.7,181
1.5,3,7.2,170
2,4,8.2,193
2,4,8.7,203
2,4,8.2,193
2,4,8.7,203
2,4,8.5,198
2,4,9.2,215
2,4,8.5,198
2,4,8.7,203
1.6,4,9,212
1.6,4,8.6,201
1.6,4,9,212
1.6,4,8.6,201
2,4,8.5,199
2,4,9.2,214
1.6,4,9,212
1.6,4,8.6,201
1.6,4,9,212
1.6,4,8.6,201
2,4,7.8,181
2,4,8.4,198
2.4,4,8.8,204
2.4,4,9.2,217
2.4,4,9.1,210
2,4,8.3,191
2,4,8.7,203
1.2,3,5.9,139
1.2,3,6.3,147
2.4,4,8.4,193
2.4,4,9,207
3,6,10.4,238
2,4,8.7,202
2,4,9.3,214
2.4,4,9.6,223
3.7,6,11.1,260
3.7,6,11.5,269
3.7,6,11.5,270
3.7,6,11.8,278
2.5,4,7.5,176
3.5,6,9,212
2.5,4,7.7,181
2.5,4,12.1,285
2.5,4,11.3,266
4,6,12.7,300
4,6,13.7,322
4,6,13.3,313
3.8,6,12.6,294
1.6,4,7.9,186
1.6,4,7.8,183
1.6,4,8.2,194
1.6,4,8.3,194
1.6,4,8.8,208
3.5,6,9.5,223
1.6,4,7.8,184
1.6,4,7.7,182
3.5,6,9.8,230
3.5,6,9.9,232
2,4,9.4,220
3.5,6,10.4,245
3.5,6,10.7,251
3.5,6,11,258
2.5,4,8.2,194
2.5,4,8.6,201
1.8,4,7.2,167
1.8,4,7.9,184
1.6,4,6.8,161
1.6,4,7.6,179
3.4,6,10.1,238
3.4,6,10.6,249
3.4,6,10.1,236
3.4,6,10.7,251
3.8,6,11,259
3.8,6,11.2,262
3.8,6,11.1,260
3.8,6,11.6,272
3.8,6,10.5,245
3.8,6,10.7,252
3.8,6,10.6,250
3.8,6,10.9,255
3.4,6,10.2,240
3.4,6,10.7,251
3.4,6,10.5,246
3.4,6,10.9,257
3.8,6,11.1,260
3.8,6,11.3,265
3.8,6,11.4,268
3.8,6,11.6,272
3.8,6,10.7,251
3.8,6,11,258
3.8,6,11,257
3.8,6,11.2,262
3.8,6,14,329
4,6,14.3,334
3.4,6,10.8,253
3.4,6,11.1,261
3.8,6,11.2,260
3.8,6,11.4,267
3.8,6,11.9,278
3.8,6,11.9,278
3.8,6,11.9,278
3.8,6,11.9,278
2.7,6,9.2,217
2.7,6,9.9,232
3.4,6,9.5,222
3.4,6,10.7,250
3.4,6,9.8,230
3.4,6,10.4,245
3.8,6,11.6,272
3.6,6,11.8,277
3,6,9.8,270
3.6,6,12.8,300
3.6,6,12.2,286
4.8,8,14.2,334
4.8,8,14.3,336
2.7,6,9.2,217
2.7,6,9.9,232
3.8,6,11.8,277
3.4,6,9.5,222
3.4,6,10.7,250
3.4,6,9.8,230
3.4,6,10.4,245
3,6,12.2,285
3.6,6,12.3,287
3.6,6,10.9,255
4.8,8,12.7,298
3,6,11.4,267
3.6,6,11.1,262
3,6,11.4,267
3,6,11.5,271
4.8,8,12.8,300
4.8,8,12.9,303
4.8,8,12.8,300
4.8,8,12.9,303
3.6,6,11.9,279
3.6,6,16.8,279
3.6,6,11.3,264
5.7,8,14.8,348
5.7,8,13.6,319
3,6,10.2,272
3,6,9.8,264
3.6,6,12.6,294
3.6,6,17.8,296
5.7,8,15.4,362
5.7,8,14.1,330
3,6,10.6,283
2.4,4,9.8,231
6.6,12,16.1,373
6.6,12,16.1,373
6.7,12,17.2,403
6.7,12,17.2,404
6.7,12,17.2,403
6.7,12,17.2,404
6.6,12,15.6,367
2,4,8.4,197
2,4,9.6,224
1.8,4,7.4,173
1.8,4,7.7,180
2.5,4,9,211
2.5,4,9,210
0.9,3,6.9,157
0.9,3,6.9,157
2,4,8.4,197
2,4,9.6,224
2,4,9.4,222
2.5,4,8.7,204
2.5,4,9.6,227
2,4,7.6,177
2,4,8.4,197
2,4,7.6,177
2,4,8.4,197
2.5,4,7.9,185
2.5,4,9.4,220
3.6,6,10.2,239
2.5,4,8.3,196
2.5,4,9.7,228
3.6,6,10.5,246
2,4,11.2,254
2,4,10,233
2.5,4,12.2,285
2,4,8.1,191
2,4,9.1,214
2,4,7.5,175
4,6,12.8,298
4,6,12.8,298
3.5,6,9.7,225
2.5,4,8.2,192
3.5,6,9.5,222
2.5,4,5.7,134
2.5,4,5.9,137
1.8,4,7.6,179
1.8,4,7.3,171
1.8,4,7.1,166
1.8,4,7.5,174
1.8,4,6.8,160
1.8,4,6.9,162
3.5,6,11.1,260
3.5,6,11.6,272
3.5,6,8.5,198
3.5,6,8.4,195
1.8,4,4.5,104
1.5,4,4.7,111
1.8,4,5.6,131
2.5,4,9,212
2.5,4,9.5,220
2.5,4,7.2,169
2.5,4,8.9,208
2.5,4,9.4,220
5.7,8,16.6,382
3.5,6,11.4,267
3.5,6,12.5,290
2.7,4,11.1,261
3.5,6,11.4,267
2.7,4,11.7,274
2.7,4,11.9,279
3.5,6,11.9,280
3.5,6,12.5,292
3.5,6,12.9,300
4.6,8,14.3,335
5.7,8,15.4,360
4.6,8,15.1,351
5.7,8,16.3,380
2.7,4,10.4,244
3.5,6,10.9,256
2.7,4,10.5,241
3.5,6,11.3,263
1.5,4,6.4,151
1.5,4,6.7,157
1.5,4,7.3,170
1.5,4,7.1,165
1.8,4,8.4,196
1.8,4,8.4,196
1.8,4,8.4,196
1.8,4,8.7,203
2,4,9.3,217
1.8,4,8.1,189
1.8,4,8,187
2,4,8.5,198
2,4,8.3,193
2,4,9.3,216
2,4,9.4,220
1.8,4,8.2,193
1.8,4,8.2,192
1.4,4,7.3,173
1.4,4,7.2,168
1.8,4,8,186
1.8,4,8.1,189
2,4,8.6,201
2,4,8.8,207
1.4,4,5.3,124
1.8,4,8,187
1.8,4,8.1,189
3.6,6,10.4,243
2,4,10.7,251
2,4,11.2,259
2,4,10.6,248
3.6,6,12.4,292
3,6,9.8,270
2.5,5,10.3,239
2,4,8.3,193
2.5,5,10.1,233
2,4,8.3,193
2.5,5,10.1,233
2,4,9.3,218
2,4,9.9,231
3,6,11.2,259
3,6,11.2,259
2,4,8.3,193
2.5,5,10.3,239
2,4,8.3,193
2.5,5,10.1,233
2,4,9.9,231
3,6,11.2,259
3,6,11.2,259
2,4,9.1,213
2.5,5,11,254
2,4,9.7,226
2,4,10.6,247
3,6,12,276
2,4,9.1,213
2.5,5,11,254
2,4,10,232
2,4,10.2,239
2,4,10.6,247
2.4,4,8.2,192
3.5,6,11,259
3.5,6,10.7,251
3,6,9,210
3.5,6,11,261
3.5,6,10.7,250
3.5,6,8.1,190
2.4,4,8.3,197
3.5,6,9.6,226
1.8,4,8.4,197
1.8,4,8.4,197
2,4,8.7,205
2,4,9.2,217
2.9,6,11.9,280
5.2,12,13.7,322
6,12,14.1,331
6,12,14.7,345
6,12,16.4,388
6,12,19.2,450
2,4,8,188
2,4,8.7,205
2,4,9.5,223
2,4,7.6,177
2,4,8.8,205
2,4,8.6,204
2,4,9.3,217
2,4,9.7,226
2,4,9,210
2,4,9.9,231
2,4,9.4,220
3,6,10,238
3,6,10,238
3,6,10.5,246
4,8,10.7,249
4,8,10.9,255
2,4,10.3,243
2,4,10.3,241
2,4,10.5,246
3,6,11.4,267
2,4,10.8,253
3,6,11.1,260
5.2,10,14.1,330
5.2,10,14.1,330
4,8,13.1,309
2,4,9.9,232
3,6,11,259
3,6,11.7,273
3,6,11.4,266
4,8,11.3,263
4,8,11.4,265
4,8,13.4,312
3,6,12.2,285
2,4,9.1,209
2,4,9.1,209
2,4,9.5,222
6,12,15.9,370
4,8,13.1,307
6,12,15.4,360
4,8,14.4,337
6,12,16,375
4,8,13.8,321
6,12,16,375
6.8,8,17.5,407
6.8,8,18.3,430
2,4,8.7,207
2,4,8.4,197
2,4,9.4,219
2,4,9.1,213
2,4,9,210
2,4,8.4,200
2,4,8.6,202
2,4,8.8,206
2,4,7,189
2,4,7,189
2,4,9.1,213
2,4,9.1,213
2,4,9.1,213
3,6,9.6,224
3,6,10.4,242
3,6,9.8,228
3,6,10.5,246
3,6,10.2,238
2,4,9.1,211
2,4,9.1,213
2,4,9.1,213
3,6,9.6,224
3,6,10.4,242
3,6,10.2,238
3,6,9.8,228
3,6,10.5,246
3,6,9.8,228
2,4,9.1,213
3,6,9.8,228
3,6,10.6,249
3,6,10.6,249
4.4,8,12.5,292
4.4,8,11.7,273
4.4,8,12.5,292
3,6,10.2,238
4.4,8,11.7,273
4.4,8,12.5,292
4.4,8,12.5,292
4.4,8,12.5,292
3,6,10.5,245
3,6,11.4,267
3,6,9.6,224
3,6,10.4,242
3,6,9.6,224
3,6,10.7,250
3,6,9.8,228
3,6,9.8,228
3,6,12.1,284
3,6,11.7,273
3,6,12.1,283
3,6,11.7,273
3,6,12.1,284
3,6,11.7,273
4.4,8,14.7,343
4.4,8,13.8,324
4.4,8,14.7,343
4.4,8,13.8,324
4.4,8,14.7,343
4.4,8,13.8,324
6.6,12,15.1,355
2,4,9.1,213
2,4,8,211
2,4,10,233
3,6,11.1,260
3,6,11.1,260
2,4,10.3,240
4.4,8,14.6,341
3,6,9.3,249
3,6,11.5,270
4.4,8,13.7,320
4.4,8,14.6,341
3,6,11.5,270
4.4,8,13.7,320
3.6,6,13.4,315
3.6,6,13.7,322
1.4,4,8.3,194
1.4,4,7.9,185
1.4,4,8.8,208
1.4,4,8.3,196
2,4,10.6,248
2.5,4,9.9,232
3.6,6,9.5,224
3.6,6,10,235
2,4,9.9,233
2,4,10.7,250
2.4,4,9.7,226
2,4,9.3,217
2,4,10.1,236
2.5,4,9.2,216
3.6,6,10,234
2,4,9.5,222
3.6,6,10.6,248
3.6,6,11.9,279
3.6,6,12.6,295
2,4,9.5,223
3,6,11.2,263
3.6,6,11,259
2,4,9.5,223
3.6,6,10,234
2,4,9.8,229
3.6,6,10.6,248
3.6,6,12.7,299
6.2,8,14,329
6.2,8,14.1,331
3.6,6,10.5,245
3.6,6,11.1,260
3.6,6,11.1,260
3.6,6,11.6,272
3.6,6,12.8,299
2,4,9.5,222
2,4,10.1,236
3.6,6,10.6,249
3.6,6,11.7,274
6.2,8,11.7,273
6.2,8,12.1,284
6.2,8,15.6,367
6.2,8,14.9,349
2,4,9.4,220
2.5,4,10.7,252
2.5,4,10.9,254
2.8,4,9.5,255
3.6,6,11.7,274
2.5,4,11.3,263
2.8,4,10.4,280
3.6,6,12.2,286
2.8,4,11.7,315
3.6,6,14.1,331
6.2,8,12.4,290
6.2,8,11.9,278
6.2,8,14.3,336
6.2,8,13.4,312
1.4,4,7,165
1.4,4,7.3,170
1.4,4,7.2,169
1.6,4,6.4,172
1.6,4,6.3,169
1.4,4,7.3,172
1.4,4,7.4,173
1.4,4,7.5,176
2.4,4,9.4,221
2.4,4,9.4,221
2.4,4,13.6,223
3.6,6,12.1,285
2.4,4,10.1,237
2.4,4,10.1,237
2.4,4,14.2,234
3.6,6,13,304
6,8,18.6,438
6,8,19,445
2.5,4,9.5,224
3.6,6,10.6,249
3.6,6,14.6,240
1.5,4,7.8,182
2,4,9.1,212
1.8,4,5.1,121
5.3,8,12.7,297
5.3,8,13.1,309
6.2,8,13.8,324
4.3,6,11.9,279
4.3,6,17.1,284
5.3,8,12.7,298
5.3,8,17.1,284
5.3,8,13.1,307
5.3,8,13.9,327
6.2,8,14.1,330
4.3,6,12.5,294
4.3,6,18,294
5.3,8,13.1,307
5.3,8,17.9,315
5.3,8,13,303
1.4,4,7.8,184
1.4,4,7.4,174
1.8,4,8.4,197
1.8,4,8.3,194
1.4,4,7.8,184
1.4,4,7.4,174
1.8,4,8.4,197
1.8,4,8.3,194
1.4,4,7.1,167
1.4,4,7.2,168
5.3,8,13,305
5.3,8,13,305
5.3,8,17.1,284
5.3,8,13.3,312
5.3,8,13.3,312
5.3,8,19.1,317
5.3,8,13,305
5.3,8,13,305
5.3,8,17.1,284
5.3,8,13.2,310
5.3,8,13.2,310
5.3,8,18,299
3.6,6,13.4,315
3.6,6,13.7,322
1.4,4,8.3,194
1.4,4,8.2,194
1.4,4,8.8,208
2.4,4,8.6,201
2.4,4,11.7,192
3.6,6,10.2,241
3.6,6,13.9,230
3.6,6,10.8,252
3.6,6,14.4,237
3.6,6,10.3,242
5.7,8,12.3,289
3.6,6,11,258
3.6,6,11,258
3.6,6,15,248
3.6,6,10.9,257
3.6,6,10.6,249
3.6,6,10.3,242
5.7,8,13.1,307
6.4,8,13.9,325
5.7,8,12.3,289
6.4,8,12.9,302
3.6,6,11,258
6.4,8,13.9,325
6.4,8,12.9,302
6.2,8,14.5,339
6.2,8,15.1,352
3.6,6,11.6,271
3.6,6,10.3,242
5.7,8,12.9,302
5.7,8,12.3,289
6.4,8,12.9,302
3.6,6,11,258
3.6,6,11,258
3.6,6,15,248
5.7,8,13.3,312
6.4,8,12.9,302
6.2,8,14.5,339
3.6,6,11.3,265
5.7,8,14,328
3.6,6,11.8,276
3.6,6,16.7,274
2.4,4,11.1,261
3.6,6,12.1,284
3.6,6,16.4,274
3.6,6,12.4,292
8.4,10,16.6,387
1.4,4,8,187
1.4,4,7.9,185
1.4,4,8,186
1.4,4,7.3,171
1.4,4,8,186
1.4,4,7,163
1.4,4,8.7,202
1.4,4,7.9,186
1.4,4,8.7,202
1.4,4,7.9,186
1.4,4,9.4,221
1.4,4,8.4,197
2.4,4,9.3,219
2.4,4,9.7,226
2,4,5.9,138
2,4,9.9,233
2,4,9.8,230
3.5,6,11.5,270
2,4,10.4,244
2.7,6,12,281
3.5,6,12.1,284
1.5,4,9.1,214
2,4,9.5,222
2.5,4,9.7,229
2.5,4,13.3,219
1.5,4,9.6,226
2,4,10.2,239
3.5,6,14.2,333
3.5,6,14.3,337
2.3,4,10.8,254
3.5,6,12,281
3.5,6,16.1,264
2.3,4,11.3,266
3.5,6,13,305
3.5,6,12.6,296
3.5,6,17.2,284
2.7,6,10.9,256
2.7,6,11.2,263
2.7,6,11.6,272
3.5,6,11.3,264
3.5,6,11.7,274
3.5,6,12.4,290
3.5,6,11.6,272
3.5,6,15.8,258
5,8,13.2,310
5,8,17.7,291
5,8,14.5,340
5,8,17.7,291
2.7,6,11.8,276
2.7,6,12.5,293
2.7,6,12.3,288
3.5,6,12.1,284
3.5,6,12.3,288
3.5,6,12.7,298
3.5,6,12.5,293
3.5,6,16.9,281
5,8,13.8,323
5,8,18.6,305
5,8,14.1,330
5,8,18.6,306
5,8,14.8,347
5,8,19.6,326
3.5,6,14.5,339
1.6,4,7.6,178
1.6,4,7.8,182
1,3,6.8,158
1.6,4,8.2,192
3.5,6,12.7,298
3.5,6,12.9,303
3.5,6,13.7,321
1,3,7.5,176
1,3,7,164
2,4,7.9,185
2,4,10.6,177
2,4,8,189
2,4,10.9,182
2,4,8.3,195
2,4,11.4,188
2.3,4,10.9,256
2,4,9.3,219
1.5,4,8.7,204
2,4,9.6,225
2.5,4,9.6,224
2,4,10.1,238
2.7,6,11.5,270
2,4,5.6,131
3.5,6,17.3,406
2.3,4,9.6,226
2.3,4,10.2,239
2.3,4,9.8,230
2.3,4,9.8,230
3.7,6,11.1,259
3.7,6,11.5,271
5,8,12.9,303
5,8,13.1,307
5,8,13.8,324
2.3,4,10.2,239
2.3,4,10.1,237
5,8,13.2,309
5,8,13.8,324
5.2,8,14.6,341
3.5,6,14.6,344
3.7,6,15.1,354
3.7,6,20.9,343
2,4,10.1,238
3.5,6,11.1,260
3.5,6,15,249
3.5,6,12.5,293
3.5,6,12.4,291
3.5,6,16.3,271
2.5,4,10.4,244
2.5,4,14.2,234
2.5,4,10.8,253
2.5,4,14.7,242
3.8,6,12.1,286
5,8,14.2,332
3.3,6,11.9,279
5,8,13,306
2.5,4,10.2,239
3.6,6,11.3,265
2.5,4,10.4,243
3.6,6,11.6,271
2.5,4,10.7,252
2.5,4,10.9,254
2.8,4,9.5,255
3.6,6,11.7,274
2.5,4,11.3,263
2.8,4,10.4,280
3.6,6,12.2,286
6,8,18.6,438
6,8,19,445
5.3,8,12.7,297
5.3,8,13.1,309
6.2,8,13.8,323
4.3,6,11.9,279
